"building","building_source_file","can_build_rural","can_build_town","can_build_city","can_build_megalopolis","unlock_advance","advance_age","starting_technology_level","effective_starting_technology_level","technology_level_source","advance_requires"
"construction_center","in_game/common/building_types/town_buildings.txt","no","yes","yes","yes","","","",,,""
"cyclopean_walls","in_game/common/building_types/01_bronze_age_culture_unique.txt","no","setup_only","yes","yes","cyclopean_walls_advance","age_1_traditions","","3","inferred_from_prerequisite_bronze_city_walls_advance","bronze_city_walls_advance"
"egyptian_canaanite_garrison","in_game/common/building_types/02_bronze_egyptian_canaanite_garrison.txt","yes","yes","yes","yes","","","",,,""
"elephant_hunting_grounds","in_game/common/building_types/rural_buildings.txt","yes","no","no","no","","","",,,""
"farming_village","in_game/common/building_types/rural_buildings.txt","yes","no","no","no","agriculture_advance","age_1_traditions","1","1","explicit",""
"fiber_crops_farm","in_game/common/building_types/common_buildings.txt","yes","yes","yes","yes","","","",,,""
"fine_cloth_iron_age","in_game/common/building_types/00_iron_age_basic_industry.txt","no","yes","yes","yes","independent_craftsmen","age_2_renaissance","","","","dispersion_of_authority_advance"
"fine_cloth_palace","in_game/common/building_types/00_bronze_age_bronze_industry.txt","no","yes","yes","yes","royal_production_advance","age_1_traditions","","3","inferred_from_prerequisite_workforce_specialization_advance","workforce_specialization_advance"
"fishing_village","in_game/common/building_types/rural_buildings.txt","yes","no","no","no","","","",,,""
"forest_village","in_game/common/building_types/rural_buildings.txt","yes","no","no","no","","","",,,""
"frontier_post","in_game/common/building_types/00_bronze_age_forts.txt","yes","no","no","no","frontier_post_advance","age_1_traditions","3","3","explicit","trade_caravans"
"fruit_orchard","in_game/common/building_types/common_buildings.txt","yes","yes","yes","yes","","","",,,""
"gate_court","in_game/common/building_types/00_bronze_age_government.txt","no","yes","yes","yes","delegated_judicial_authority","age_2_renaissance","","","","provincial_governors"
"hill_fort","in_game/common/building_types/00_bronze_age_forts.txt","yes","yes","no","no","hill_forts_advance","age_1_traditions","4","4","explicit","warrior_lodges_advance"
"horse_breeders","in_game/common/building_types/common_buildings.txt","yes","yes","yes","yes","","","",,,""
"house_of_remedies","in_game/common/building_types/00_bronze_age_rural.txt","yes","no","no","no","house_of_remedies_advance","age_1_traditions","1","1","explicit","settlements_advance"
"iron_citadel","in_game/common/building_types/00_bronze_age_forts.txt","yes","yes","no","no","iron_citadel_advance","age_2_renaissance","","","","provincial_governors"
"iron_city_walls","in_game/common/building_types/00_bronze_age_forts.txt","no","setup_only","yes","yes","iron_city_walls_advance","age_2_renaissance","","","","stone_dressing"
"irrigation_systems","in_game/common/building_types/common_buildings.txt","yes","yes","yes","yes","irrigation_systems_advance","age_1_traditions","1","1","explicit","settlements_advance"
"jewelry_iron_age","in_game/common/building_types/00_iron_age_basic_industry.txt","no","yes","yes","yes","independent_craftsmen","age_2_renaissance","","","","dispersion_of_authority_advance"
"jewelry_palace","in_game/common/building_types/00_bronze_age_bronze_industry.txt","no","yes","yes","yes","royal_production_advance","age_1_traditions","","3","inferred_from_prerequisite_workforce_specialization_advance","workforce_specialization_advance"
"local_markets","in_game/common/building_types/estate_buildings.txt","yes","no","no","no","","","",,,""
"local_shrine","in_game/common/building_types/estate_buildings.txt","yes","yes","no","no","","","",,,""
"local_smelters","in_game/common/building_types/rural_buildings.txt","yes","no","no","no","","","",,,""
"market_village","in_game/common/building_types/rural_buildings.txt","yes","no","no","no","standard_measurements_advance","age_1_traditions","2","2","explicit","long_distance_trade_advance"
"marketplace","in_game/common/building_types/trade_buildings.txt","no","yes","yes","yes","","","",,,""
"mason","in_game/common/building_types/common_buildings.txt","yes","yes","yes","yes","masonry_advance","age_1_traditions","","1","inferred_from_prerequisite_agriculture_advance","mining_advance"
"megalithic_religious_monument","in_game/common/building_types/00_bronze_age_monumental.txt","yes","no","no","no","megalithic_monument_advance","age_1_traditions","4","4","explicit","ritual_sites_advance"
"megaron","in_game/common/building_types/01_bronze_age_culture_unique.txt","no","no","yes","yes","megarons_advance","age_1_traditions","","3","inferred_from_prerequisite_palace_economy_advance","palace_economy_advance"
"merchants_quarters","in_game/common/building_types/trade_buildings.txt","no","yes","yes","yes","merchants_quarters_unlock_advance","age_1_traditions","","3","inferred_from_prerequisite_merchant_script_advance","scribe_alphabetic_maintenance"
"naval_supplies_iron_age","in_game/common/building_types/00_iron_age_basic_industry.txt","no","yes","yes","yes","independent_craftsmen","age_2_renaissance","","","","dispersion_of_authority_advance"
"naval_supplies_palace","in_game/common/building_types/00_bronze_age_bronze_industry.txt","no","yes","yes","yes","royal_navy_supply_advance","age_1_traditions","","3","inferred_from_prerequisite_workforce_specialization_advance","royal_weapon_workshop_advance"
"navy_supplies_maker","in_game/common/building_types/00_bronze_age_neolithic_makers.txt","no","yes","no","no","","","",,,""
"neolithic_beer_maker","in_game/common/building_types/00_bronze_age_neolithic_makers.txt","yes","yes","no","no","","","",,,""
"neolithic_dock","in_game/common/building_types/00_bronze_age_port.txt","no","yes","no","no","","","",,,""
"neolithic_dyes_maker","in_game/common/building_types/00_bronze_age_neolithic_makers.txt","yes","yes","no","no","","","",,,""
"neolithic_feast_court","in_game/common/building_types/00_bronze_age_religious.txt","yes","yes","yes","yes","ritual_sites_advance","age_1_traditions","","1","inferred_from_prerequisite_agriculture_advance","agriculture_advance"
"neolithic_granary","in_game/common/building_types/00_bronze_age_rural.txt","yes","yes","no","no","agriculture_advance","age_1_traditions","1","1","explicit",""
"neolithic_leather_maker","in_game/common/building_types/00_bronze_age_neolithic_makers.txt","yes","yes","no","no","animal_husbandry_advance","age_1_traditions","","1","inferred_from_prerequisite_agriculture_advance","agriculture_advance"
"neolithic_sanctuary","in_game/common/building_types/00_bronze_age_religious.txt","yes","yes","yes","yes","ritual_sites_advance","age_1_traditions","","1","inferred_from_prerequisite_agriculture_advance","agriculture_advance"
"neolithic_slave_market","in_game/common/building_types/00_bronze_age_neolithic_makers.txt","no","yes","no","no","","","",,,""
"nobled_sponsored_temple","in_game/common/building_types/estate_buildings.txt","yes","yes","yes","yes","","","",,,""
"nuragic_bronze_workshop","in_game/common/building_types/02_bronze_nuragic_buildings.txt","yes","yes","yes","no","","","",,,""
"nuragic_circular_house_village","in_game/common/building_types/02_bronze_nuragic_buildings.txt","yes","yes","no","no","","","",,,""
"nuragic_communal_cistern","in_game/common/building_types/02_bronze_nuragic_buildings.txt","yes","yes","yes","no","","","",,,""
"nuragic_complex_nuraghe","in_game/common/building_types/02_bronze_nuragic_buildings.txt","yes","yes","yes","no","","","",,,""
"nuragic_giants_tombs","in_game/common/building_types/02_bronze_nuragic_buildings.txt","yes","yes","yes","no","","","",,,""
"nuragic_simple_nuraghe","in_game/common/building_types/02_bronze_nuragic_buildings.txt","yes","yes","yes","no","","","",,,""
"palace_registry","in_game/common/building_types/00_bronze_age_palatial_complex.txt","no","no","yes","yes","royal_registry_advance","age_1_traditions","3","3","explicit","palace_administration"
"palace_trade_registry","in_game/common/building_types/00_bronze_age_palatial_complex.txt","no","no","yes","yes","palace_trade_registry_advance","age_1_traditions","3","3","explicit","palace_administration"
"peasants_hunting_grounds","in_game/common/building_types/estate_buildings.txt","yes","no","no","no","","","",,,""
"pirate_tavern","in_game/common/building_types/pirate_buildings.txt","no","yes","yes","yes","","","",,,""
"pottery_iron_age","in_game/common/building_types/00_iron_age_basic_industry.txt","no","yes","yes","yes","independent_craftsmen","age_2_renaissance","","","","dispersion_of_authority_advance"
"pottery_maker","in_game/common/building_types/00_bronze_age_neolithic_makers.txt","yes","yes","no","no","","","",,,""
"pottery_palace","in_game/common/building_types/00_bronze_age_bronze_industry.txt","no","yes","yes","yes","royal_production_advance","age_1_traditions","","3","inferred_from_prerequisite_workforce_specialization_advance","workforce_specialization_advance"
"royal_scribe_guild","in_game/common/building_types/00_bronze_age_government.txt","no","no","yes","yes","royal_scribe_guild_advance","age_1_traditions","","3","inferred_from_prerequisite_elite_scripts_advance","elite_scripts_advance"
"rural_clothmaker","in_game/common/building_types/rural_buildings.txt","yes","no","no","no","","","",,,""
"salt_collector","in_game/common/building_types/common_buildings.txt","yes","yes","yes","yes","","","",,,""
"sand_pit","in_game/common/building_types/common_buildings.txt","yes","yes","yes","yes","","","",,,""
"settlement_building","in_game/common/building_types/rural_buildings.txt","yes","no","no","no","settlements_advance","age_1_traditions","1","1","explicit","agriculture_advance"
"sheep_farms","in_game/common/building_types/rural_buildings.txt","yes","no","no","no","","","",,,""
"slave_market","in_game/common/building_types/town_buildings.txt","no","yes","yes","yes","slave_market_advance","age_1_traditions","","3","inferred_from_prerequisite_intercultural_relations_advance","intercultural_relations_advance"
"smuggler_cove","in_game/common/building_types/pirate_buildings.txt","no","yes","yes","yes","","","",,,""
"sponsored_beer_maker","in_game/common/building_types/00_bronze_age_sponsored_industry.txt","yes","yes","yes","no","craft_patronage_advance","age_1_traditions","1","1","explicit","prestige_governance"
"sponsored_dyes_maker","not found in building_types","no","no","no","no","craft_patronage_advance","age_1_traditions","1","1","explicit","prestige_governance"
"sponsored_fine_cloth_maker","in_game/common/building_types/00_bronze_age_sponsored_industry.txt","yes","yes","yes","no","luxury_craft_patronage_advance","age_1_traditions","2","2","explicit","craft_patronage_advance"
"sponsored_jewelry_maker","in_game/common/building_types/00_bronze_age_sponsored_industry.txt","yes","yes","yes","no","luxury_craft_patronage_advance","age_1_traditions","2","2","explicit","craft_patronage_advance"
"sponsored_leather_maker","in_game/common/building_types/00_bronze_age_sponsored_industry.txt","yes","yes","yes","no","craft_patronage_advance","age_1_traditions","1","1","explicit","prestige_governance"
"sponsored_navy_supplies_maker","in_game/common/building_types/00_bronze_age_sponsored_industry.txt","yes","yes","yes","no","weaponry_craft_patronage_advance","age_1_traditions","2","2","explicit","craft_patronage_advance"
"sponsored_pottery_maker","in_game/common/building_types/00_bronze_age_sponsored_industry.txt","yes","yes","yes","no","craft_patronage_advance","age_1_traditions","1","1","explicit","prestige_governance"
"sponsored_tool_maker","in_game/common/building_types/00_bronze_age_sponsored_industry.txt","yes","yes","yes","no","craft_patronage_advance","age_1_traditions","1","1","explicit","prestige_governance"
"sponsored_weaponry_maker","in_game/common/building_types/00_bronze_age_sponsored_industry.txt","yes","yes","yes","no","weaponry_craft_patronage_advance","age_1_traditions","2","2","explicit","craft_patronage_advance"
"sponsored_wine_maker","in_game/common/building_types/00_bronze_age_sponsored_industry.txt","yes","yes","yes","no","luxury_craft_patronage_advance","age_1_traditions","2","2","explicit","craft_patronage_advance"
"stockade","in_game/common/building_types/forts.txt","yes","yes","yes","yes","stockade_advance","age_1_traditions","1","1","explicit","settlements_advance"
"stone_quarry","in_game/common/building_types/common_buildings.txt","yes","yes","yes","yes","","","",,,""
"tablets_guild","in_game/common/building_types/00_bronze_age_bronze_industry.txt","no","yes","yes","yes","royal_tablets_workshop_advance","age_1_traditions","","3","inferred_from_prerequisite_elite_scripts_advance","royal_scribe_guild_advance"
"tar_kiln","in_game/common/building_types/common_buildings.txt","yes","yes","yes","yes","","","",,,""
"temple_complex","in_game/common/building_types/00_bronze_age_religious.txt","no","no","yes","yes","temple_complex_advance","age_1_traditions","3","3","explicit","city_building_advance"
"temple_court","in_game/common/building_types/00_bronze_age_religious.txt","no","no","yes","yes","temple_court_advance","age_1_traditions","3","3","explicit","temple_complex_advance"
"temple_granary","in_game/common/building_types/00_bronze_age_religious.txt","no","no","yes","yes","temple_granary_advance","age_1_traditions","3","3","explicit","temple_complex_advance"
"temple_healing_sanctuary","in_game/common/building_types/00_bronze_age_religious.txt","no","no","yes","yes","temple_healing_sanctuary_advance","age_1_traditions","3","3","explicit","temple_complex_advance"
"temple_scribes_guild","in_game/common/building_types/00_bronze_age_religious.txt","no","no","yes","yes","temple_scribes_advance","age_1_traditions","2","2","explicit","religious_texts_advance"
"tools_guild","in_game/common/building_types/00_bronze_age_bronze_industry.txt","no","yes","yes","yes","royal_tools_workshop_advance","age_1_traditions","","3","inferred_from_prerequisite_workforce_specialization_advance","workforce_specialization_advance"
"tools_iron_age_workshop","in_game/common/building_types/00_iron_age_basic_industry.txt","no","yes","yes","yes","independent_smiths","age_2_renaissance","","","","independent_craftsmen"
"tools_maker","in_game/common/building_types/00_bronze_age_neolithic_makers.txt","yes","yes","no","no","tools_maker_advance","age_1_traditions","1","1","explicit","settlements_advance"
"town_walls","in_game/common/building_types/00_bronze_age_forts.txt","no","yes","no","no","town_walls_advance","age_1_traditions","2","2","explicit","masonry_advance"
"trade_company_foreign_influence","in_game/common/building_types/trade_company_buildings.txt","yes","yes","yes","yes","","","",,,""
"trade_company_garrison","in_game/common/building_types/trade_company_buildings.txt","yes","yes","yes","yes","","","",,,""
"trade_company_governance","in_game/common/building_types/trade_company_buildings.txt","yes","yes","yes","yes","","","",,,""
"trade_company_harbor","in_game/common/building_types/trade_company_buildings.txt","yes","yes","yes","yes","","","",,,""
"trade_company_headquarters","in_game/common/building_types/trade_company_buildings.txt","yes","yes","yes","yes","","","",,,""
"trade_company_local_venture","in_game/common/building_types/trade_company_buildings.txt","yes","yes","yes","yes","","","",,,""
"trade_district","in_game/common/building_types/00_iron_age_trade.txt","no","yes","yes","yes","commercial_districts","age_2_renaissance","","","","private_commerce"
"trading_hub","in_game/common/building_types/market_buildings.txt","no","yes","yes","yes","","","",,,""
"warrior_halls","in_game/common/building_types/rural_buildings.txt","yes","yes","no","no","","","",,,""
"warrior_lodges","in_game/common/building_types/00_bronze_age_military.txt","yes","yes","no","no","warrior_lodges_advance","age_1_traditions","3","3","explicit","household_companions_advance"
"weapon_guild","in_game/common/building_types/00_bronze_age_bronze_industry.txt","no","yes","yes","yes","royal_weapon_workshop_advance","age_1_traditions","","3","inferred_from_prerequisite_workforce_specialization_advance","royal_tools_workshop_advance"
"weapon_iron_age_workshop","in_game/common/building_types/00_iron_age_basic_industry.txt","no","yes","yes","yes","independent_smiths","age_2_renaissance","","","","independent_craftsmen"
"weaponry_maker","in_game/common/building_types/00_bronze_age_neolithic_makers.txt","yes","yes","no","no","weaponry_maker_advance","age_1_traditions","1","1","explicit","tools_maker_advance"
"wharf","in_game/common/building_types/00_bronze_age_port.txt","no","yes","yes","yes","wharf_unlock_advance","age_1_traditions","3","3","explicit","sailing_advance"
"winery_iron_age","in_game/common/building_types/00_iron_age_basic_industry.txt","no","yes","yes","yes","independent_craftsmen","age_2_renaissance","","","","dispersion_of_authority_advance"
"winery_palace","in_game/common/building_types/00_bronze_age_bronze_industry.txt","no","yes","yes","yes","royal_production_advance","age_1_traditions","","3","inferred_from_prerequisite_workforce_specialization_advance","workforce_specialization_advance"
